REF_DATE,GEO,Population centre and rural areas,Class of worker,North American Industry Classification System (NAICS),VALUE
Sep-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],66.2
Oct-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],66.3
Nov-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],64.4
Dec-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],66.7
Jan-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],66.7
Feb-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69.1
Mar-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],68.5
Apr-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69.6
May-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69.2
Jun-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.4
Jul-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],72.9
Aug-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],73
Sep-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69.4
Oct-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],70.4
Nov-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69.5
Dec-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],70.2
Jan-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69.3
Feb-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69
Mar-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],67.9
Apr-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],67.5
May-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],68.9
Jun-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],68.2
Jul-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],70.1
Aug-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71
Sep-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.3
Oct-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],72.2
Nov-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],75.6
Dec-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],74.6
Jan-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],74.4
Feb-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.3
Mar-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],72.3
Apr-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],72.6
May-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],74
Jun-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],70.9
Jul-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.3
Aug-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.6
Sep-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],69
Oct-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.9
Nov-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.7
Dec-24,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],70.7
Jan-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],73.2
Feb-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.5
Mar-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],71.8
Apr-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],72
May-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],72.2
Jun-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],74.9
Jul-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],74.5
Aug-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],70.1
Sep-25,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing [31-33],68.6
May-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",98.7
Jun-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",101.2
Jul-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",98.2
Aug-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",95.9
Sep-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",96.8
Oct-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",99.5
Nov-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",100.9
Dec-21,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",102.7
Jan-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",101.1
Feb-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",100.9
Mar-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",97.8
Apr-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",96.1
May-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",95.4
Jun-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",90.3
Jul-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",90.7
Aug-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",88.2
Sep-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",89.8
Oct-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",92
Nov-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",94.3
Dec-22,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",98
Jan-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",97.3
Feb-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",99.8
Mar-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",97.8
Apr-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",96.8
May-23,Manitoba,"Total, all population centres and rural areas","Total employed, all classes of workers","Wholesale and retail trade [41, 44-45]",101.8
